name,type,prompt
servant_room,scene,"simple servants' quarters room with plain walls and a small window, Joseon dynasty Korea, no modern elements"
servant_room_night,scene,"simple servants' quarters room at night, dim, Joseon dynasty Korea, no modern elements"
juni_room_night,scene,"a child's room in a Joseon mansion at night, bedding, medicine pot, lamp, Joseon dynasty Korea, no modern elements"
juni_room_dawn,scene,"a child's room in a Joseon mansion at dawn, pale light, Joseon dynasty Korea, no modern elements"
back_gate_night,scene,"back gate of a Joseon mansion half open at night, dark alley beyond, Joseon dynasty Korea, no modern elements"
yangju_fields,scene,"rice fields and farming village in Yangju, Joseon dynasty, Joseon dynasty Korea, no modern elements"
market,scene,"bustling Joseon market street with stalls and people, early spring, Joseon dynasty Korea, no modern elements"
market_hut,scene,"shabby thatched hut at the edge of a Joseon market, Joseon dynasty Korea, no modern elements"
mapo_dock,scene,"Mapo river dock in Hanyang with rice boats and merchants, Joseon dynasty Korea, no modern elements"
anchae,scene,"women's quarters of a Joseon mansion with jewelry box and folding screen, Joseon dynasty Korea, no modern elements"
jar_terrace,scene,"jar terrace with large soy sauce jars behind a Joseon house, dawn, Joseon dynasty Korea, no modern elements"
flashback_home,scene,"modest scholar's house in Joseon, soft faded memory tone, Joseon dynasty Korea, no modern elements"
flashback_harvest,scene,"memory of rice sacks in front of a storehouse, faded warm tone, Joseon dynasty Korea, no modern elements"
flashback_court,scene,"tense Joseon government hall, faded memory tone, Joseon dynasty Korea, no modern elements"
steward_room,scene,"steward's small room with a wooden chest, Joseon dynasty Korea, no modern elements"
byeolchae,scene,"bright clean annex of a Joseon mansion with a sunny wooden veranda, spring, Joseon dynasty Korea, no modern elements"
byeolchae_night,scene,"annex room at night with warm lamp light, Joseon dynasty Korea, no modern elements"
munheon_yadam,style,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, gentle storybook mood"
