prompt,prompt_ko,subtitle,characters,scene_tag,style_tag,shot_type,duration,start_time,end_time,parent_scene
"Dallae stroking the folded robe, a rooster silhouette on the roof beyond paper window at dawn. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room at night lit by a single oil lamp, fabrics and threads. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","그리고 그 도둑으로 몰린 사람이 바로, 지금 도포를 쓰다듬고 있는 이 침","그리고 그 도둑으로 몰린 사람이 바로, 지금 도포를 쓰다듬고 있는 이 침모였습니다 창호지 밖에서 새벽닭이 울었습니다",달래,chimbang_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.170,145.900,157.070,S001
"close-up of her trembling fingers tying a wrapping cloth bundle around the robe. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room at night lit by a single oil lamp, fabrics and threads. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",침모는 도포를 곱게 개어 보자기에 쌌지요 보자기 매듭을 짓는 손끝이 아주,침모는 도포를 곱게 개어 보자기에 쌌지요 보자기 매듭을 짓는 손끝이 아주 조금 떨리고 있었습니다,달래,chimbang_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,9.740,157.070,166.810,S001
"the wrapped cloth bundle on the floor beside a flickering lamp, question in the air. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room at night lit by a single oil lamp, fabrics and threads. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",과연 이 도포는 대감의 손에 무사히 닿을 수 있을까요? 그리고 세 해 동,과연 이 도포는 대감의 손에 무사히 닿을 수 있을까요? 그리고 세 해 동안 곳간을 털어 온 진짜 도둑은 누구였을까요?,달래,chimbang_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",narration,10.490,166.810,177.300,S001
"warm storyteller's room with a crackling clay stove and firewood, inviting. Setting: cozy traditional Korean room with a lamp, low table, warm atmosphere. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",오늘도 문헌야담을 찾아 주셔서 고맙습니다 이야기가 마음에 드신다면 구독과,오늘도 문헌야담을 찾아 주셔서 고맙습니다 이야기가 마음에 드신다면 구독과 좋아요로 문헌야담 사랑방 아궁이에 장작 하나 넣어 주세요,,sarangbang_cozy,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",narration,12.950,177.300,190.250,S001
"an old storybook opening on a low table beside a lamp. Setting: cozy traditional Korean room with a lamp, low table, warm atmosphere. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","그럼 오늘의 이야기, 처음부터 천천히 풀어 드리겠습니다","그럼 오늘의 이야기, 처음부터 천천히 풀어 드리겠습니다",,sarangbang_cozy,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",narration,5.530,190.250,195.780,S001
"panorama of 18th-century Hanyang with tiled roofs and mountains, early morning. Setting: panorama of 18th-century Hanyang with tiled roofs and mountains. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",영조 임금이 보위에 오른 지 몇 해 되지 않았을 무렵의 일입니다,영조 임금이 보위에 오른 지 몇 해 되지 않았을 무렵의 일입니다,,hanyang_view,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",narration,6.090,195.780,201.870,S002
"narrow Bukchon alley lined with tiled walls leading to a grand gate. Setting: narrow Bukchon alley in Hanyang lined with tiled walls. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","한양 북촌, 기와지붕이 줄지어 선 골목 끝에 심 대감의 아흔아홉 칸 집이","한양 북촌, 기와지붕이 줄지어 선 골목 끝에 심 대감의 아흔아홉 칸 집이 있었지요",,bukchon_street,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,8.380,201.870,210.250,S002
"Lord Shim at his desk quickly calculating on an abacus, sharp eyes, ledgers stacked. Characters: Lord Shim (elderly nobleman with white beard). Setting: Joseon nobleman's study with desk, inkstone, cabinets, ledgers, paper doors, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",대감은 호조판서까지 지내며 나라 살림을 셈하던 사람이었습니다 한 번 본 ,"대감은 호조판서까지 지내며 나라 살림을 셈하던 사람이었습니다 한 번 본 숫자는 잊지 않는다 하여, 동료들이 셈판 대감이라 부를 정도였어요",심대감,sarangchae,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,13.800,210.250,224.050,S002
"neat symmetrical layout of the noble mansion from above. Setting: bird's-eye view of a large 99-kan Joseon noble mansion with courtyards. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",집도 주인을 닮아 반듯했습니다,집도 주인을 닮아 반듯했습니다,,mansion_overview,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,3.520,224.050,227.570,S002
"tall main gate opening to men's quarters, inner gate leading to women's quarters and kitchen. Setting: bird's-eye view of a large 99-kan Joseon noble mansion with courtyards. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","솟을대문을 들어서면 사랑채가 먼저 손님을 맞았고, 중문 너머로 안채와 침","솟을대문을 들어서면 사랑채가 먼저 손님을 맞았고, 중문 너머로 안채와 침방, 부엌이 오순도순 모여 있었지요",,mansion_overview,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,10.570,227.570,238.140,S002
"sunlit jar terrace behind the house next to a thick earthen-walled storehouse. Setting: earthen-walled storehouse of a Joseon mansion with heavy iron lock, jar terrace nearby, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","안채 뒤꼍에는 장독대가 볕을 쬐고 있었고, 그 옆으로 두툼한 흙벽을 두른","안채 뒤꼍에는 장독대가 볕을 쬐고 있었고, 그 옆으로 두툼한 흙벽을 두른 곳간이 자리 잡고 있었어요",,storehouse,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,9.740,238.140,247.880,S002
"close-up of a heavy iron lock on the storehouse door. Setting: earthen-walled storehouse of a Joseon mansion with heavy iron lock, jar terrace nearby, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",곳간 문에는 어른 주먹만 한 무쇠 자물쇠가 묵직하게 매달려 있었지요 그 ,곳간 문에는 어른 주먹만 한 무쇠 자물쇠가 묵직하게 매달려 있었지요 그 집은 양주에 너른 전답을 가지고 있었습니다,,storehouse,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.430,247.880,259.310,S002
"Kwak driving an ox cart loaded with rice sacks along autumn rice fields. Characters: Kwak (sunburnt broad-shouldered farm manager). Setting: rice fields and farming village in Yangju, Joseon dynasty. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",전답은 곽 마름이라는 사내가 맡아 돌보았지요 가을이면 곽 마름이 소작료로,전답은 곽 마름이라는 사내가 맡아 돌보았지요 가을이면 곽 마름이 소작료로 거둔 곡식을 달구지에 싣고 북촌 본가로 올라왔습니다,곽마름,yangju_fields,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,12.220,259.310,271.530,S002
"Steward No writing in a ledger while rice sacks are carried into the storehouse. Characters: Steward No (bent old steward in brown robe). Setting: earthen-walled storehouse of a Joseon mansion with heavy iron lock, jar terrace nearby, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",그러면 삼십 년을 이 집에서 일한 노 청지기가 그 곡식을 받아 곳간에 들,그러면 삼십 년을 이 집에서 일한 노 청지기가 그 곡식을 받아 곳간에 들이고 장부에 적었어요 그런데 이상한 일이 있었습니다,노청지기,storehouse,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,12.480,271.530,284.010,S002
"half-empty storehouse interior, fewer rice sacks than expected. Setting: earthen-walled storehouse of a Joseon mansion with heavy iron lock, jar terrace nearby, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","해마다 농사는 그만하면 되었다는데, 곳간은 해마다 조금씩 가벼워졌지요","해마다 농사는 그만하면 되었다는데, 곳간은 해마다 조금씩 가벼워졌지요",,storehouse,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,7.370,284.010,291.380,S002
"Lord Shim frowning at the storehouse door, muttering to himself. Characters: Lord Shim (elderly nobleman with white beard). Setting: earthen-walled storehouse of a Joseon mansion with heavy iron lock, jar terrace nearby, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","나라 살림을 셈하던 대감이, 제 집 곳간만은 도무지 셈이 맞지 않았던 겁","나라 살림을 셈하던 대감이, 제 집 곳간만은 도무지 셈이 맞지 않았던 겁니다 ""거참, 쥐가 먹어도 이리 먹지는 않을 텐데.""",심대감,storehouse,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",dialogue,12.460,291.380,303.840,S002
"Lord Shim stroking his white beard in front of the storehouse, puzzled. Characters: Lord Shim (elderly nobleman with white beard). Setting: earthen-walled storehouse of a Joseon mansion with heavy iron lock, jar terrace nearby, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",대감은 곳간 문 앞에서 턱수염을 쓸며 혼잣말을 하곤 했습니다 대감에게는 ,대감은 곳간 문 앞에서 턱수염을 쓸며 혼잣말을 하곤 했습니다 대감에게는 무거운 일이 하나 더 있었어요,심대감,storehouse,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",reaction,10.380,303.840,314.220,S002
"Lord Shim holding little Juni on his lap, a memorial tablet in the background. Characters: Lord Shim (elderly nobleman with white beard), Juni (7-year-old noble boy with red ribbon). Setting: Joseon nobleman's study at night lit by an oil lamp, long shadows. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",외아들 내외가 몇 해 전 돌림병으로 잇따라 세상을 떠난 것이었습니다 남은,외아들 내외가 몇 해 전 돌림병으로 잇따라 세상을 떠난 것이었습니다 남은 것은 일곱 살 손자 준이 하나뿐이었지요,"심대감,준이",sarangchae_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.640,314.220,325.860,S002
"Lord Shim sitting awake at night with sleeping Juni in his arms, lamp light. Characters: Lord Shim (elderly nobleman with white beard), Juni (7-year-old noble boy with red ribbon). Setting: Joseon nobleman's study at night lit by an oil lamp, long shadows. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",대감은 그 어린 손자를 품에 안고 사랑채의 긴 밤을 보내곤 했습니다,대감은 그 어린 손자를 품에 안고 사랑채의 긴 밤을 보내곤 했습니다,"심대감,준이",sarangchae_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,6.440,325.860,332.300,S002
"first snow falling on the mansion gate at dawn, the gatekeeper opening the bar and shouting. Setting: grand wooden gate of a Joseon mansion covered in first snow at dawn. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","이야기는 삼 년 전, 첫눈이 내리던 겨울 아침으로 거슬러 올라갑니다 행랑","이야기는 삼 년 전, 첫눈이 내리던 겨울 아침으로 거슬러 올라갑니다 행랑아범이 대문 빗장을 열다 말고 소리를 질렀어요",,gate_snow,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,12.080,332.300,344.380,S003
"a young woman collapsed on a snow pile, blue lips, worn-out straw shoes. Characters: Dallae (young seamstress in faded white jeogori). Setting: grand wooden gate of a Joseon mansion covered in first snow at dawn. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",대문 앞 눈 더미 위에 젊은 여인 하나가 쓰러져 있었던 겁니다 여인의 입,"대문 앞 눈 더미 위에 젊은 여인 하나가 쓰러져 있었던 겁니다 여인의 입술은 파랗게 질려 있었고, 짚신은 다 닳아 발가락이 드러나 있었습니다",달래,gate_snow,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,13.400,344.380,357.780,S003
"servants carrying the woman to the kitchen fire, feeding her hot scorched-rice water. Characters: Dallae (young seamstress in faded white jeogori). Setting: Joseon mansion kitchen with iron cauldrons, clay stove, firewood, steam. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",행랑 사람들이 여인을 부엌 아궁이 앞으로 옮겨 뜨거운 숭늉을 떠 먹였지요,행랑 사람들이 여인을 부엌 아궁이 앞으로 옮겨 뜨거운 숭늉을 떠 먹였지요 한참 만에 눈을 뜬 여인에게 사람들이 물었습니다,달래,kitchen,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.340,357.780,369.120,S003
"the woman pointing at her mouth and shaking her head slowly, servants around her. Characters: Dallae (young seamstress in faded white jeogori). Setting: Joseon mansion kitchen with iron cauldrons, clay stove, firewood, steam. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","어디서 왔느냐, 이름이 무엇이냐 여인은 대답 대신 제 입을 손으로 가리키","어디서 왔느냐, 이름이 무엇이냐 여인은 대답 대신 제 입을 손으로 가리키고, 고개를 천천히 저었습니다",달래,kitchen,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,10.560,369.120,379.680,S003
"a small cotton handkerchief falling from her bosom onto the kitchen floor. Characters: Dallae (young seamstress in faded white jeogori). Setting: Joseon mansion kitchen with iron cauldrons, clay stove, firewood, steam. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","""말을 못 하는 게로구먼."" 누군가 혀를 찼어요 그때 여인의 품에서 작은","""말을 못 하는 게로구먼."" 누군가 혀를 찼어요 그때 여인의 품에서 작은 수건 하나가 떨어졌습니다",달래,kitchen,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,9.830,379.680,389.510,S003
"close-up of an old handkerchief with two Korean letters embroidered in fine thread. Characters: Dallae (young seamstress in faded white jeogori). Setting: Joseon mansion kitchen with iron cauldrons, clay stove, firewood, steam. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","낡은 무명 수건 귀퉁이에 가는 실로 두 글자가 수놓여 있었지요 달래 ""이","낡은 무명 수건 귀퉁이에 가는 실로 두 글자가 수놓여 있었지요 달래 ""이게 이름인가 보네. 달래라.""",달래,kitchen,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.580,389.510,401.090,S003
"servants calling the quiet woman by her new name, curious faces. Characters: Dallae (young seamstress in faded white jeogori). Setting: Joseon mansion kitchen with iron cauldrons, clay stove, firewood, steam. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","그날부터 여인은 달래라 불렸습니다 성이 무엇인지, 어디서 왔는지 아는 사","그날부터 여인은 달래라 불렸습니다 성이 무엇인지, 어디서 왔는지 아는 사람은 아무도 없었어요",달래,kitchen,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",narration,9.650,401.090,410.740,S003
"a kitchen woman massaging the stranger's hands, noticing thick calluses on fingertips. Characters: Dallae (young seamstress in faded white jeogori). Setting: Joseon mansion kitchen with iron cauldrons, clay stove, firewood, steam. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",다만 여인의 손을 주물러 주던 부엌 아낙 하나가 고개를 갸웃했습니다 손끝,다만 여인의 손을 주물러 주던 부엌 아낙 하나가 고개를 갸웃했습니다 손끝마다 단단한 굳은살이 박여 있었거든요,달래,kitchen,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.470,410.740,422.210,S003
"the lady of the house entering the kitchen in the evening, looking down at the woman. Characters: Dallae (young seamstress in faded white jeogori), the lady of the house (graceful noblewoman in her fifties). Setting: Joseon mansion kitchen with iron cauldrons, clay stove, firewood, steam. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",오래도록 바늘을 쥐어 온 사람의 손이었습니다 그날 저녁 대감 마님이 부엌,오래도록 바늘을 쥐어 온 사람의 손이었습니다 그날 저녁 대감 마님이 부엌으로 건너와 여인을 내려다보았어요,"달래,대감마님",kitchen,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,10.610,422.210,432.820,S003
"Dallae bowing deeply with forehead to the kitchen floor, graceful and proper. Characters: Dallae (young seamstress in faded white jeogori), the lady of the house (graceful noblewoman in her fifties). Setting: Joseon mansion kitchen with iron cauldrons, clay stove, firewood, steam. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",여인은 얼른 몸을 일으켜 부엌 바닥에 이마가 닿도록 절을 했습니다 눈 속,여인은 얼른 몸을 일으켜 부엌 바닥에 이마가 닿도록 절을 했습니다 눈 속에서 반쯤 얼어 있던 사람이라고는 믿기지 않을 만큼 반듯한 절이었지요,"달래,대감마님",kitchen,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,13.610,432.820,446.430,S003
"the lady of the house speaking kindly, snow falling outside the kitchen door. Characters: Dallae (young seamstress in faded white jeogori), the lady of the house (graceful noblewoman in her fifties). Setting: Joseon mansion kitchen with iron cauldrons, clay stove, firewood, steam. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","대감 마님은 한참 여인을 바라보다가 짧게 일렀습니다 ""봄이 올 때까지만이","대감 마님은 한참 여인을 바라보다가 짧게 일렀습니다 ""봄이 올 때까지만이라도 몸을 추스르게 하거라. 이 추위에 내보낼 수야 없지.""","달래,대감마님",kitchen,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",dialogue,13.880,446.430,460.310,S003
"Dallae lying down in a small corner room of the servants' quarters, winter night. Characters: Dallae (young seamstress in faded white jeogori). Setting: simple servants' quarters room with plain walls and a small window. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",그렇게 달래는 이 집 행랑 한구석에 몸을 누일 자리를 얻었습니다,그렇게 달래는 이 집 행랑 한구석에 몸을 누일 자리를 얻었습니다,달래,servant_room,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,6.110,460.310,466.420,S003
